bar_time,signal,win_prob,state_prob,dir_prob,hmm_state,atr20_pct,blocked_by,smma_score,smma_required_threshold,adx_strength_score,adx_strength_penalty,effective_threshold,in_range_phase,H1_ADX,H4_ADX,H1_DI_diff,H4_DI_diff,h1_adx_slope,h4_adx_slope,ts_line_dist_pct,ts_htf_agreement,ts_adx_switch_trend,reason
2025-12-01 01:00:00,BUY,0.6129,1.0,0.4,Volatile,,,0.0,0.42,0.0,0.0,0.42,0,40.79,35.81,11.8,20.87,4.436713,0.847146,-0.097744,1.0,1.0,prob=61.29% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=35.82%
2025-12-01 01:15:00,BUY,0.8042,0.8,0.4,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,40.79,35.81,11.8,20.87,4.659369,1.132662,0.023644,1.0,1.0,prob=80.42% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=35.82%
2025-12-01 01:30:00,BUY,0.5758,0.8,0.4,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,40.79,35.81,11.8,20.87,3.456996,1.122607,0.063174,1.0,1.0,prob=57.58% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=35.82%
2025-12-01 01:45:00,BUY,0.5203,0.5,0.4,Volatile,,,0.0,0.42,0.0,0.0,0.42,0,40.79,35.81,11.8,20.87,2.54356,1.076136,0.025538,1.0,1.0,prob=52.03% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=35.82%
2025-12-01 02:00:00,BUY,0.8659,1.0,0.6471,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,38.88,35.81,11.16,20.87,3.733472,1.068021,0.048738,1.0,1.0,prob=86.59% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=38.00%
2025-12-01 02:15:00,BUY,0.892,1.0,0.9091,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,39.27,37.71,11.93,27.17,4.565997,1.120363,0.146155,1.0,1.0,prob=89.20% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=38.00%
2025-12-01 02:30:00,BUY,0.899,1.0,0.9091,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,39.27,37.71,11.93,27.17,3.201303,1.192333,0.300127,3.0,1.0,prob=89.90% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=38.00%
2025-12-01 02:45:00,BUY,0.892,1.0,0.9091,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,39.51,37.78,12.83,27.65,2.23984,1.354757,0.277976,3.0,1.0,prob=89.20% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=38.00%
2025-12-01 03:00:00,BUY,0.6155,0.8814,0.6471,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,38.4,37.78,11.24,27.65,3.170098,1.425902,0.136699,3.0,1.0,prob=61.55% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=30.88%
2025-12-01 03:15:00,BUY,0.8621,0.8384,0.9091,Ranging,,,0.0,0.48,0.0,0.0,0.48,0,39.53,38.13,15.48,29.9,4.584168,1.433152,0.337018,3.0,1.0,prob=86.21% | model=combined(70%)+state(ranging)+dir(BUY)(30%) | state=Ranging | vol=normal | slot_wr=30.88%
2025-12-01 03:30:00,BUY,0.7733,0.5,0.6471,Volatile,,,0.0,0.42,0.0,0.0,0.42,0,40.28,38.39,18.75,31.68,3.007103,1.334117,0.402106,3.0,1.0,prob=77.33% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=30.88%
2025-12-01 03:45:00,BUY,0.7992,0.64,0.6471,Volatile,,,0.0,0.42,0.0,0.0,0.42,0,41.74,38.95,26.35,36.02,2.062089,1.23631,0.732806,3.0,1.0,prob=79.92% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=30.88%
2025-12-01 04:00:00,BUY,0.8814,0.5556,0.9091,Trending,,,0.0,0.45,0.0,0.0,0.45,0,43.67,43.0,24.09,33.86,3.01045,2.026719,0.452214,3.0,1.0,prob=88.14% | model=combined(70%)+state(trending)+dir(BUY)(30%) | state=Trending | vol=normal | slot_wr=47.89%
2025-12-01 04:15:00,BUY,0.7729,0.4981,0.6471,Volatile,,,0.0,0.42,0.0,0.0,0.42,0,43.67,43.0,23.22,33.0,5.045584,1.859712,0.192886,3.0,1.0,prob=77.29% | model=combined(70%)+state(volatile)+dir(BUY)(30%) | state=Volatile | vol=normal | slot_wr=47.89%
